character_name,traits,category
Isabelle Huppert,"['is_female', 'is_actor']",Acting
Zooey Deschanel,"['is_female', 'is_actor']",Acting
Tim Kang,"['is_male', 'is_actor']",Acting
Kyle Chandler,"['is_male', 'is_actor']",Acting
Michael Sheen,"['is_male', 'is_actor']",Acting
Sarah Dugdale,"['is_female', 'is_actor']",Acting
Justin Hartley,"['is_male', 'is_actor']",Acting
Shannyn Sossamon,"['is_female', 'is_actor']",Acting
Indira Varma,"['is_female', 'is_actor']",Acting
Quentin Tarantino,"['is_male', 'is_director']",Directing
Ryan Hurst,"['is_male', 'is_actor']",Acting
Sara Paxton,"['is_female', 'is_actor']",Acting
Chandler Riggs,"['is_male', 'is_actor']",Acting
Ana de la Reguera,"['is_female', 'is_actor']",Acting
Danielle Rose Russell,"['is_female', 'is_actor']",Acting
Sami Gayle,"['is_female', 'is_actor']",Acting
Jason Bateman,"['is_male', 'is_actor']",Acting
Joe Pesci,"['is_male', 'is_actor']",Acting
Meg Foster,"['is_female', 'is_actor']",Acting
Rudy Pankow,"['is_male', 'is_actor']",Acting
Rosie Huntington-Whiteley,"['is_female', 'is_actor']",Acting
Daniella Wang,"['is_female', 'is_actor']",Acting
Mara Krupp,"['is_female', 'is_actor']",Acting
Justin Theroux,"['is_male', 'is_actor']",Acting
Patricia Velásquez,"['is_female', 'is_actor']",Acting
Zach Grenier,"['is_male', 'is_actor']",Acting
Ah Reum,"['is_female', 'is_actor']",Acting
Angie Harmon,"['is_female', 'is_actor']",Acting
Kathy Bates,"['is_female', 'is_actor']",Acting
Josh Gad,"['is_male', 'is_actor']",Acting
Ryan Kwanten,"['is_male', 'is_actor']",Acting
Kate Hudson,"['is_female', 'is_actor']",Acting
Chae Soo-bin,"['is_female', 'is_actor']",Acting
Jennifer Lawrence,"['is_female', 'is_actor']",Acting
Rita Ora,"['is_female', 'is_actor']",Acting
Keith Carradine,"['is_male', 'is_actor']",Acting
Marina Sirtis,"['is_female', 'is_actor']",Acting
Peter Boyle,"['is_male', 'is_actor']",Acting
Urassaya Sperbund,"['is_female', 'is_actor']",Acting
Lydia Hull,"['is_female', 'is_actor']",Acting
Dan Aykroyd,"['is_male', 'is_actor']",Acting
Steve McQueen,"['is_male', 'is_actor']",Acting
Sela Ward,"['is_female', 'is_actor']",Acting
Sam Levinson,"['is_male', 'is_director']",Directing
Cobie Smulders,"['is_female', 'is_actor']",Acting
Emma Kenney,"['is_female', 'is_actor']",Acting
Matthew Rauch,"['is_male', 'is_actor']",Acting
Fiona Gubelmann,"['is_female', 'is_actor']",Acting
Amy Sedaris,"['is_female', 'is_actor']",Acting
Don Cheadle,"['is_male', 'is_actor']",Acting
Tara Strong,"['is_female', 'is_actor']",Acting
Lizzy Caplan,"['is_female', 'is_actor']",Acting
Qin Lan,"['is_female', 'is_actor']",Acting
Keri Russell,"['is_female', 'is_actor']",Acting
David Morse,"['is_male', 'is_actor']",Acting
Kim So-hyun,"['is_female', 'is_actor']",Acting
Tom Lipinski,"['is_male', 'is_actor']",Acting
Judah Lewis,"['is_male', 'is_actor']",Acting
Justin Roiland,"['is_male', 'is_actor']",Acting
James Hong,"['is_male', 'is_actor']",Acting
Lee Jung-eun,"['is_female', 'is_actor']",Acting
Jill Ireland,"['is_female', 'is_actor']",Acting
Seth Green,"['is_male', 'is_actor']",Acting
Álvaro Cervantes,"['is_male', 'is_actor']",Acting
Erik Estrada,"['is_male', 'is_actor']",Acting
Greg Kinnear,"['is_male', 'is_actor']",Acting
Giancarlo Esposito,"['is_male', 'is_actor']",Acting
James Russo,"['is_male', 'is_actor']",Acting
Nick Robinson,"['is_male', 'is_actor']",Acting
Jackson Robert Scott,"['is_male', 'is_actor']",Acting
Bonnie Hunt,"['is_female', 'is_actor']",Acting
Tim Blake Nelson,"['is_male', 'is_actor']",Acting
Adam Pally,"['is_male', 'is_actor']",Acting
Alexandra Turshen,"['is_female', 'is_actor']",Acting
Mare Winningham,"['is_female', 'is_actor']",Acting
Iman Vellani,"['is_female', 'is_actor']",Acting
Til Schweiger,"['is_male', 'is_actor']",Acting
Nick Stahl,"['is_male', 'is_actor']",Acting
Mary Steenburgen,"['is_female', 'is_actor']",Acting
Mahershala Ali,"['is_male', 'is_actor']",Acting
Danielle Harris,"['is_female', 'is_actor']",Acting
Colin Morgan,"['is_male', 'is_actor']",Acting
Steve Guttenberg,"['is_male', 'is_actor']",Acting
Kelly Rohrbach,"['is_female', 'is_actor']",Acting
Lake Bell,"['is_female', 'is_actor']",Acting
Özge Gürel,"['is_female', 'is_actor']",Acting
Devon Bostick,"['is_male', 'is_actor']",Acting
Michael Pitt,"['is_male', 'is_actor']",Acting
Lyubov Aksyonova,"['is_female', 'is_actor']",Acting
Sofía Vergara,"['is_female', 'is_actor']",Acting
Louis Garrel,"['is_male', 'is_actor']",Acting
